review_id,restaurant_id,user_id,rating,review_date
Bz5kR052DviDGQGV_q8VUQ,Jdqg97lLo_qJlCqU9RjIEA,j5yfS1QjGwNLQ0h4_wDyxg,3,2012-09-08
Sc2eLc1kTsehqraMhrT1zg,Jdqg97lLo_qJlCqU9RjIEA,dk8-B6hKb1XOmYJKC4Ig3Q,5,2016-09-17
Qpz73uZ60Gk7MSKbD6Y6_A,Jdqg97lLo_qJlCqU9RjIEA,9RG87QSBaTmcbDu3ydQJ2g,1,2016-07-21
NdjK8rttbevfoDwgXcL-eg,Jdqg97lLo_qJlCqU9RjIEA,y6IogOYLjAs8Mksx62vnDQ,3,2017-01-28
2PoRWtHb6ulqr8AJv_QGhA,Jdqg97lLo_qJlCqU9RjIEA,VKwI11qTXOxHmlh2yr_2TQ,3,2014-01-17
WlqmIvizN8A_oKNR-MPuPw,Jdqg97lLo_qJlCqU9RjIEA,sxb4v27_35Lp1yktej7ZEQ,4,2014-02-27
FsS5TUFPI8QJEE60-HR3dw,tulUhFYMvBkYHsjmn30A9w,bWh4k_cCuVt5GLVd33xIxg,2,2013-11-19
7xGHiLP1vAaGmX6srC_XXw,tulUhFYMvBkYHsjmn30A9w,nQ4e81UdfczimYcIUtO3HA,4,2014-12-18
ZWlXWc9LHPLiOksrp-enyw,tulUhFYMvBkYHsjmn30A9w,gJPa95ZRozMhiOqvENpspA,5,2014-09-12
KpRwKYyQ93ypyDSdA7IXfw,tulUhFYMvBkYHsjmn30A9w,bAwfPH4lXNzgcYp9JFy6ow,2,2012-02-28
OZvrgp4vWBsYqIt3-YMSEw,tulUhFYMvBkYHsjmn30A9w,BjtJ3VkMOxV2Lan037AFuw,3,2014-10-06
LDln5I1QXIIinI74RmjuSQ,tulUhFYMvBkYHsjmn30A9w,ZfqrQVvCfnhlqma6bkEWJw,1,2015-10-07
_Ob9cAp8dT0w1X5GsZP6vg,tulUhFYMvBkYHsjmn30A9w,AiQL1INckKUk1Bx2WD8ozw,5,2016-06-24
g9VGCBuaZ079NtNNfmVPaA,tulUhFYMvBkYHsjmn30A9w,J50BanBFNY4naDYAJRAZAA,1,2015-04-14
3luqqY_D_XQCj_JUOaCL2w,tulUhFYMvBkYHsjmn30A9w,mzexPXl2iuASVakpjODhrQ,2,2011-04-19
Tfkyj1e0-_D_t2uos9W5gg,tulUhFYMvBkYHsjmn30A9w,nNtI1xRXcZs5R3sBEa8xqw,4,2014-08-31
sDmMfrsRQtEPYx_X4mmpCw,tulUhFYMvBkYHsjmn30A9w,GKXrTZecEsqWuACpRNyuxw,2,2016-01-09
DR0dmQGFGQQEgn_BvG3CCw,tulUhFYMvBkYHsjmn30A9w,tNy6TYGSOEgtFxYPKM-jrw,4,2015-06-07
DySF6mE1hZ2GwzPA7sVdEQ,tulUhFYMvBkYHsjmn30A9w,2jlimdYxRiZt0-OegVqvqQ,5,2014-11-21
